MenuItemID,RestaurantID,Name,Description,Price
1,6,Spicy Shrimp Sc,Juicy shrimp coated in spicy sauce at Spicy Shrimp Sc.,21.87
2,29,Spicy Mango Tof,Tangy and flavorful tofu dish with a spicy mango sauce.,18.07
3,45,Tropical Tuna T,Grilled tuna steak with a tropical marinade and a side of jasmine rice,39.35
4,48,Berry Balsamic Steak,Grilled steak drizzled with a sweet and tangy berry bals,10.51
5,42,Cheesy Broccoli B,Broccoli florets smothered in a rich and gooey cheese sauce,19.34
6,29,Spicy Mango Salmon Bowl,Spicy Mango Salmon Bowl featuring grilled salmon topped with a zesty mango sauce,7.49
7,48,Spicy Shrimp T,Spicy shrimp tacos with a zesty kick and delicious toppings.,6.15
8,7,Shrimp Curry Bowl,Tender shrimp cooked in a flavorful curry sauce served over a bed of rice,21.83
9,11,Spicy Mango Pulled,"Sweet and tangy mango combined with spicy flavors in tender pulled meat, creating",29.46
10,21,Tropical Mango Salad,"A refreshing salad with juicy mango chunks, mixed greens, and a tangy",25.69
11,10,Potato Chip Chicken T,Crispy chicken coated in crushed potato chips for a satisfying crunch.,45.37
12,11,Sushi Burrito Bowl,"Japanese-inspired bowl featuring sushi rice, fresh fish, and colorful vegetables, served",29.4
13,20,Spicy Sriracha,Spicy Sriracha chicken wings with a fiery kick and tangy flavor,44.55
14,16,Savory Shrimp,Succulent shrimp cooked with savory spices and herbs.,24.51
15,3,Honey Sriracha,Spicy honey sriracha-glazed chicken wings with a sweet and tang,9.17
16,40,Spicy Mango Shrimp,Spicy mango shrimp featuring succulent shrimp cooked in a fiery mango sauce.,9.0
17,37,Szechuan Shrimp,Spicy Szechuan shrimp stir-fried with vegetables and savory sauce.,28.48
18,22,Shrimp Taco Slam,Tasty shrimp tacos with a variety of flavorful toppings.,12.56
19,38,Blueberry Balsamic,Grilled chicken topped with a tangy blueberry balsamic glaze,34.3
20,45,Quinoa Power Bowl,Nutritious quinoa power bowl filled with protein-packed ingredients and fresh veggies,44.64
21,19,Smoked Gouda,Creamy smoked Gouda cheese served with crackers and fruit.,24.8
22,22,Truffle Parmesan Ris,Creamy truffle-infused risotto topped with savory Parmesan cheese.,22.03
23,23,Seared Paprika Til,Seared Paprika Til: Tilapia fillet cooked with a flavorful pap,9.21
24,2,Spicy Mango Chicken Curry,Tender chicken cooked in a spicy mango-infused curry sauce.,5.55
25,50,Mango Tango Chicken Salad,A refreshing chicken salad with juicy mango slices and a zesty tango dressing,28.18
26,45,Maple Glazed Salmon,Salmon fillet glazed with maple syrup for a sweet and savory flavor profile,10.14
27,20,Sushi Burrito Bowl,Sushi Burrito Bowl - Fresh sushi ingredients served in a convenient bowl for,42.59
28,39,Quinoa Power Bowl,"Healthy and satisfying Quinoa Power Bowl packed with colorful vegetables, protein-rich qu",19.92
29,6,Spicy Pulled Pork,Spicy Pulled Pork: Tender shredded pork marinated in a spicy sauce,42.62
30,35,Coconut Curry Quinoa,A flavorful quinoa dish with creamy coconut curry sauce.,41.06
31,40,Spicy Mango Shrimp,Shrimp cooked in a spicy mango sauce.,37.15
32,33,Crispy Avocado,Crispy Avocado: Fresh avocado slices coated in a crunchy breading,28.01
33,41,Mango Coconut Curry Bow,"A tropical blend of mango, coconut, and curry sauce served over rice in",28.54
34,32,Spicy Honey Glazed,"Sweet and spicy, the Spicy Honey Glazed dish features succulent meat",23.54
35,49,Spicy Mango Shrimp,Delicious shrimp cooked in a spicy mango sauce.,20.71
36,50,Spicy Sriracha,Spicy Sriracha menu item featuring crispy chicken coated in a fiery Sr,29.54
37,4,Coconut Curry Noodle,Savory noodles infused with coconut curry sauce.,16.75
38,10,Spicy Chipotle Sh,"Shrimp marinated in a spicy chipotle sauce, grilled to perfection.",9.34
39,3,Crispy Dynamite,"Spicy jalapeño poppers wrapped in crunchy bacon, known as Cr",48.56
40,47,Crispy Pork Belly,Crispy Pork Belly: Juicy pork belly with a crispy exterior and,29.14
41,21,Coconut Curry Laska,Coconut curry laksa: A fragrant Malaysian noodle soup with a,14.83
42,24,Spicy Szechuan,Spicy Szechuan dish with bold flavors and fiery chili peppers.,40.3
43,7,Seafood Ceviche,"Refreshing seafood ceviche made with fresh fish, shrimp, and tangy",27.21
44,29,Crispy Jalap,"Spicy jalapeño slices coated in crispy batter, perfect for snacking",9.14
45,4,Spicy Thai Tof,Spicy Thai Tof is a flavorful dish featuring tofu marinated in traditional,38.44
46,26,Shrimp Ravioli,Delicious shrimp-filled ravioli served with a savory sauce.,28.93
47,8,Spicy Masala T,Indian-inspired dish featuring spiced masala tea.,48.52
48,21,Spicy Mango Shrimp,Delicious shrimp cooked in a spicy mango sauce.,26.68
49,12,Spicy Shrimp Ram,Delicious ramen noodles served with spicy shrimp.,26.38
50,50,Spicy Szechuan,"Spicy Szechuan dish featuring bold flavors, vibrant spices, and tender",31.31
51,4,Sizzling Pineapple Stir,A tropical stir-fry featuring sizzling pineapple with a flavorful blend of ingredients,43.98
52,26,Coconut Curry Ramen,Asian-inspired dish featuring ramen noodles in a flavorful coconut curry broth.,27.41
53,23,Spicy Mango Tof,Tangy tofu dish bursting with spicy mango flavors.,14.77
54,34,Seafood Fettucc,Rich and creamy fettuccine pasta with a variety of seafood.,26.62
55,7,Honey Glazed Salmon,Grilled salmon fillet coated in a sweet and sticky honey glaze.,31.16
56,42,Spicy Shrimp T,Juicy shrimp seasoned with spicy flavors and served with a tangy sauce.,14.95
57,38,Savory Mushroom Ris,Risotto infused with savory mushrooms and flavorful seasonings.,20.96
58,1,Spicy Mango Shrimp,Shrimp cooked in a spicy mango sauce for a tropical and tangy flavor,6.45
59,45,Beefy Bacon Bom,"Juicy beef patty topped with crispy bacon and a flavorful sauce, served",36.37
60,4,Teriyaki Pineapple,Grilled teriyaki pineapple skewers with a savory sweet glaze.,16.87
61,11,Savory Truffle,A luxurious dish with earthy truffle flavors and savory ingredients.,33.63
62,36,Basil Pesto Salmon,Grilled salmon fillet topped with basil pesto sauce.,18.29
63,27,Spicy Mango Chicken Bowl,Spicy Mango Chicken Bowl: Savory chicken with a zesty mango sauce,18.66
64,16,Spicy Sriracha,Spicy Sriracha dish with a fiery sauce and choice of protein.,45.45
65,15,Spicy Mango Shrimp,Delicious shrimp cooked in a spicy mango sauce.,42.09
66,7,Pesto Shrimp Lingu,Linguine pasta tossed in a flavorful pesto sauce with succulent shrimp,32.63
67,19,Lemon Garlic Shrimp,Delicious shrimp cooked with zesty lemon and garlic.,33.21
68,28,Chili Mango Chicken Salad,Spicy chili mango chicken salad with mixed greens and a zesty dressing.,21.55
69,22,Spicy Shrimp T,Spicy shrimp tossed in a tangy sauce with a hint of heat.,46.82
70,36,Crispy Salmon S,Crispy salmon fillet served with a side of seasoned vegetables.,13.84
71,18,Spicy Maple Glazed,A dish featuring a spicy maple glaze for a flavorful and zesty twist,20.04
72,16,Spicy Shrimp T,Spicy shrimp served with a tantalizing sauce and a kick of heat.,26.6
73,30,Spicy Cajun Sh,Spicy Cajun shrimp cooked to perfection with a burst of zesty flavors,29.78
74,44,Coconut Curry Bowls,"Coconut Curry Bowls - A flavorful dish made with coconut milk, curry",47.36
75,33,Spicy Mango Salmon salad,A flavorful salad featuring spicy mango and tender salmon.,19.92
76,45,Berry Cheesecake Par,Decadent cheesecake with a delightful berry topping.,38.52
77,30,Lemon Garlic Shrimp,Tender shrimp sautéed in a flavorful lemon and garlic sauce.,6.16
78,4,Spicy Shrimp T,Tender and succulent shrimp cooked in a fiery and flavor-packed spicy sauce,34.69
79,7,Maple Bacon Pancake,Delicious pancakes topped with crispy bacon drizzled with maple syrup.,5.94
80,18,Coconut Curry Noodle,Noodles served in a rich coconut curry sauce with flavorful spices.,26.66
81,30,Spicy Thai Noodle,Spicy Thai Noodles featuring a flavorful mix of traditional Thai spices and tender,9.68
82,28,Spicy Honey Glazed,A flavorful dish featuring spicy honey glazed proteins for a delicious sweet and spicy taste,23.68
83,25,Mango Tango Chicken Salad,Fresh salad featuring succulent chicken mixed with tangy mango and zesty t,25.84
84,18,Spicy Mango Shrimp,Juicy shrimp cooked in a spicy mango sauce for a tropical and flavorful dish,41.12
85,49,Coconut Curry Quinoa,Coconut Curry Quinoa: a flavorful dish featuring quinoa cooked in coconut,6.79
86,24,Savory Shrimp,Flavorful shrimp sautéed in savory spices and herbs.,18.19
87,7,Spicy Pineapple Pul,Spicy Pineapple Pul: A flavorful dish featuring a blend of spic,30.09
88,41,Spicy Chorizo,Sizzling Spicy Chorizo served with a side of tangy salsa,31.85
89,49,Citrus Glazed Salmon,Grilled salmon fillet topped with a zesty citrus glaze.,21.6
90,48,Spicy Mango Chicken T,Succulent chicken cooked in a spicy mango sauce for a flavorful dish.,24.49
91,35,Mango Tango Chicken Wrap,"Succulent chicken, fresh mango, and tangy salsa wrapped in a",14.61
92,25,Spicy Maple Glazed,"Savory dish with a spicy maple glaze, adding a sweet and",43.3
93,4,Spicy Ramen Bowl,"Spicy Ramen Bowl featuring bold flavors, tender noodles, and an aromatic",39.82
94,24,Spicy Mango Shrimp,Succulent shrimp sautéed with spicy mango sauce.,41.54
95,47,Tropical Shrimp T,Grilled shrimp served with tropical flavors and a tangy sauce.,46.92
96,37,Spicy Mango Salmon Salad,"Salmon salad with a kick, featuring spicy mango flavors.",12.74
97,48,Savory Pesto,Pasta dish with vibrant pesto sauce and flavorful herbs.,26.56
98,38,Avocado Mango Salad,"Refreshing salad featuring ripe avocados, sweet mangoes, and a z",9.36
99,20,Spicy Tofu,Spicy tofu stir-fry with a blend of fresh vegetables and fiery season,41.6
100,13,Smoky Maple Bacon Mac,Creamy macaroni and cheese infused with smoky maple flavor and crispy,46.82
101,26,Spicy Mango Shrimp,Tender shrimp cooked with spicy mango sauce.,20.51
102,2,Spicy Chorizo,"Savory chorizo sausage with a kick of spice, perfect for those",28.07
103,27,Mango Tango Chicken Salad,"Delicious salad with juicy chicken, mango slices, and a zesty t",12.45
104,21,Teriyaki Pineapple,Grilled chicken glazed in sweet teriyaki sauce served with caramelized pineapple,37.67
105,35,Coconut Curry Quinoa,"Quinoa cooked in rich coconut curry sauce, perfect for a flavorful and wholesome",37.73
106,26,Spicy Mango Chicken Wrap,"Tender grilled chicken marinated in spicy mango sauce, wrapped in a soft",26.23
107,18,Savory Maple Gl,Sweet and tangy Savory Maple Glazed salmon fillet served with grilled,36.88
108,23,Spicy Avocado Q,A zesty avocado-based dish with a spicy kick.,14.2
109,7,Quinoa Crunch Bowl,Nutritious quinoa bowl topped with crunchy vegetables and a zesty dressing,7.27
110,35,Coconut Curry Bowl,A savory bowl featuring coconut-infused curry with tender vegetables and your choice of,33.8
111,18,Spicy Teriyaki,Spicy Teriyaki dish featuring grilled meat in a tangy and z,25.61
112,45,Savory Mushroom Ris,A hearty dish featuring tender risotto infused with savory mushrooms.,8.33
113,7,Spicy Mango Chicken T,Tender chicken cooked in a spicy mango sauce for a flavorful dish.,5.69
114,2,Mango Habanero,Spicy-sweet Mango Habanero wings with a tangy kick.,17.13
115,20,Spicy Shrimp T,Spicy shrimp served with a tangy sauce and savory spices.,18.71
116,49,Spicy Pineapple Thai,Spicy Pineapple Thai: A zesty dish combining the heat of spices,47.55
117,47,Coconut Curry Ramen,Ramen noodles served in a coconut curry broth.,49.09
118,33,Spicy Maple Pork Belly,"Delicious pork belly, coated in a spicy maple glaze.",46.0
119,37,Quinoa Fiesta Bowl,"A vibrant bowl packed with quinoa, black beans, corn, avocado,",40.32
120,20,Spicy Mango Tof,Tasty tofu dish with a spicy mango sauce.,26.26
121,40,Maple Bacon Macaron,Unique macaron filled with a blend of sweet maple essence and crispy bacon pieces,19.14
122,17,Chili Lime Shrimp,A zesty blend of succulent shrimp marinated in chili and lime.,48.75
123,9,Honey Sriracha,"Spicy and sweet Honey Sriracha chicken wings, glazed to perfection.",6.68
